timestamp,sensor1_temp,sensor2_temp,sensor3_temp
1,243.6350297,239.6160138,248.1932698
2,387.6785766,390.6085354,388.9114151
3,332.9984855,339.5298878,337.3838906
4,299.664621,293.5300427,300.1864209
5,189.0046601,197.5661988,183.6005131
6,188.9986301,188.3558749,180.0711487
7,164.520903,159.6457961,162.4168814
8,366.5440364,370.3328103,360.4138268
9,300.2787529,298.0464805,299.321
10,327.0181444,326.6094611,323.0831284
11,155.1461236,153.1247324,158.4987717
12,392.477463,388.3937734,392.8691032
13,358.1106602,361.7306454,361.6906149
14,203.0847777,201.6532707,206.6238555
15,195.4562418,188.2729828,194.0188575
16,195.8511275,198.6064281,194.9044367
17,226.0605607,220.032649,230.0733966
18,281.1891079,275.422807,300.7566194
19,257.9862547,263.9492857,250.0732055
20,222.807285,216.8255856,223.141297
21,302.9632237,291.3809994,293.3975569
22,184.8734652,187.9877726,184.7061664
23,223.0361621,221.516845,217.6436749
24,241.5904608,240.5021852,240.6312095
25,264.0174961,262.4449941,265.2599787
26,346.2939903,347.45234,342.3788614
27,199.9184455,196.1548493,185.6483761
28,278.5586096,285.939184,289.962895
29,298.1036422,290.7224898,304.8178581
30,161.6126032,163.8369778,160.5681293
31,301.886213,305.096818,294.728349
32,192.6310309,188.8327721,193.3112276
33,166.2628982,161.144226,169.1508088
34,387.2213843,392.3072554,393.3814788
35,391.4080083,386.4537045,398.3057856
36,352.099337,349.0660173,360.5047475
37,226.1534423,230.5899871,212.2265648
38,174.4180285,174.5917347,171.9808828
39,321.0582566,312.0725383,329.0030632
40,260.0381234,268.7734192,252.6490698
41,180.5095587,177.8595049,190.2636993
42,273.7942275,271.7804411,288.2772484
43,158.5971303,159.8760515,168.1271648
44,377.3301005,380.4554845,382.6228238
45,214.6949954,224.5005169,211.1149456
46,315.6305711,307.3302303,317.8836495
47,227.927769,232.0575301,217.1590118
48,280.0170053,283.7320538,273.76812
49,286.6775698,285.9917453,280.991142
50,196.2136139,200.1499824,196.7093945
51,392.3961569,397.067527,389.2587388
52,343.7832058,336.8733919,345.8760055
53,384.8747354,393.6235679,391.89735
54,373.7068376,365.9130263,368.0290173
55,299.4749947,293.7984133,300.6638034
56,380.4685588,379.1596204,377.1408068
57,172.1231255,181.7478281,173.6444255
58,198.9957156,197.4544325,204.4850964
59,161.3068222,161.1471528,168.6767086
60,231.3325827,238.4929757,236.6950156
61,247.1693224,245.6677317,250.4812075
62,217.8372579,211.9450744,206.4755518
63,357.1843773,355.0982031,348.5342499
64,239.1883317,246.0422908,232.5949054
65,220.2336274,220.5879524,223.1025891
66,285.6740208,295.3273121,275.3459815
67,185.2310562,188.9207309,187.9312349
68,350.5492452,347.3252005,352.6649992
69,168.6376609,168.8930424,153.1521481
70,396.7217342,392.4556436,388.0209116
71,343.0611923,339.7190272,351.4121969
72,199.6789204,222.0743416,205.2581936
73,151.3805293,156.4736518,150
74,353.8653571,358.1708471,345.5864692
75,326.714336,323.5984344,307.1115625
76,332.251792,340.0997123,344.0221735
77,342.8175867,348.3146647,343.1460216
78,168.5111629,177.9192694,183.5809554
79,239.6164321,248.7820029,238.0830634
80,178.9672649,171.5718184,181.2279793
81,365.7758565,360.226659,372.9062442
82,305.8245317,300.8055926,318.9352732
83,232.7245062,228.004803,236.7326795
84,165.8895876,167.5068494,165.9088453
85,227.7455804,224.9115632,227.9692417
86,231.2958305,241.6588232,222.9291457
87,332.4015446,341.924944,329.3464816
88,309.3893678,309.3570599,309.7991237
89,371.8031856,381.5798167,382.8583366
90,268.0537313,275.4944044,264.6133857
91,179.8985615,177.6450287,188.3997986
92,328.3111968,318.2651201,327.6564927
93,340.1962622,339.1064202,350.1447306
94,290.3192994,287.0961887,295.7330793
95,342.741795,343.7743231,347.6153579
96,273.4488991,273.8950405,281.2795124
97,280.6832073,280.9982956,287.3484866
98,256.8852546,259.5036783,265.3957618
99,156.3547817,150.292172,173.4088934
100,176.9728567,179.0296581,189.9080144
101,157.8572964,155.6592157,161.5886903
102,309.1026028,310.1025138,305.5686279
103,228.5889953,233.3760445,231.5203376
104,277.1426728,271.0206739,261.733107
105,376.8916185,375.4851502,383.5235114
106,212.3230573,211.7303861,203.8427917
107,252.5957308,250.0243859,261.575581
108,338.8877846,343.3869321,354.7300969
109,207.1995414,203.5975996,195.5920666
110,169.2449775,166.4679755,168.8425423
111,222.4378632,218.8882676,213.9225604
112,190.3053218,195.7655989,176.4788421
113,382.4244131,379.9621925,381.5738399
114,352.0300949,354.3303218,357.1114312
115,308.3509391,318.2294646,314.3861426
116,367.8651475,367.4910554,369.096554
117,350.9180192,356.4783226,337.6041628
118,196.6425147,204.9992851,197.6295448
119,373.1397496,378.2757074,361.1993655
120,284.8355605,284.7515539,273.4196544
121,351.8600388,355.0705776,343.8854797
122,374.022825,367.585932,382.4213145
123,229.5008687,225.600653,233.8629115
124,177.5129811,174.4896052,180.0937067
125,206.9837906,218.1868512,200.0828772
126,256.7769472,252.7140246,253.6747441
127,354.5036915,350.3663077,343.5427114
128,365.1826458,359.9630409,376.0970564
129,151.7380326,154.5370914,169.3160967
130,277.6868256,278.3999326,282.139613
131,254.3527508,259.7865457,260.2067845
132,205.5269526,208.8832509,204.2552715
133,179.9663418,173.0643926,167.0107229
134,234.4037929,230.367404,227.6520745
135,385.727426,392.5540697,382.0043496
136,230.800733,229.7842418,227.7186849
137,279.6976554,285.6356145,274.7745064
138,325.7547397,325.006335,326.1367662
139,240.9074006,236.0691185,234.1060479
140,392.9455207,391.4292168,410.2873136
141,390.6118237,385.7715748,379.6888316
142,212.945574,210.1178101,220.0440503
143,274.3121265,275.316755,272.2172888
144,225.2195775,227.7776029,228.9219622
145,221.2101236,213.259167,225.2750425
146,159.2217368,159.1348968,160.4780827
147,302.3910835,299.4580048,293.3241175
148,275.6697558,272.4276818,273.0134378
149,162.8696878,163.5331109,164.22245
150,219.6616161,216.9093567,220.5130867
151,377.0664715,383.9771615,368.8814157
152,209.8904727,215.830782,220.2201723
153,186.223718,192.1328595,166.2751306
154,272.3631901,269.8886391,270.362191
155,396.4126135,391.6001194,389.0420635
156,210.5138179,210.9239675,211.9711412
157,318.0338869,317.282145,326.1676937
158,340.4049038,337.360788,329.1491517
159,209.409386,203.5307138,228.2382279
160,332.0540872,331.8464973,333.6688762
161,241.9457832,239.9254359,244.9995751
162,308.0764576,311.5181928,296.558423
163,308.3824277,311.7079579,308.0098902
164,283.943671,289.44767,291.7170696
165,172.5724425,166.2759648,174.2518151
166,358.8256239,360.8309154,359.9471885
167,230.1950162,226.5576877,229.7801397
168,196.6296276,190.5275565,185.6056269
169,160.1937854,158.0507742,150
170,297.7232358,303.0667607,307.0778528
171,319.3910905,317.5294987,326.4493841
172,154.1469572,161.9742305,162.3891266
173,278.0232646,280.7676572,271.4407042
174,206.6239438,204.6534914,205.3634017
175,311.2931976,317.0934397,321.1475991
176,193.5916073,195.8185911,183.7623647
177,322.7344345,318.0716376,331.7734938
178,246.6838366,255.9778498,241.9916798
179,384.1824972,385.4798913,377.3406308
180,184.380236,184.474217,184.1249056
181,235.2665878,230.9889244,226.3305725
182,178.3683803,184.2660716,163.1932316
183,381.1734046,383.7597817,381.7816421
184,369.3348383,372.4810292,373.6089645
185,214.4854069,211.9477502,224.2077283
186,314.9960115,319.1665144,319.8518092
187,354.3055501,358.864618,370.0287275
188,288.8002029,285.4563117,299.6888027
189,282.4126446,275.3276939,288.3172746
190,210.4630727,213.369938,214.2120233
191,173.275692,165.4089572,183.1165094
192,374.3039395,375.0640184,356.5997626
193,375.1045143,372.8682888,371.264058
194,308.2753643,314.3686904,293.4075159
195,234.7574478,232.7932283,240.0622288
196,237.3023937,242.8387585,231.3602826
197,331.4889197,328.9178725,355.6461449
198,374.277565,379.27752,370.1341586
199,371.7716061,382.0733138,372.6225114
200,344.9688865,339.6286508,341.7507542
201,310.5079115,311.9680901,306.5972616
202,171.0349912,184.7789033,161.0628162
203,190.4071785,190.7401227,180.1659832
204,374.6385471,374.9474885,357.2026031
205,301.6072649,305.5497597,305.9709633
206,152.2992629,152.5046672,150
207,175.3678857,166.8317557,190.8369115
208,315.8754423,321.5368792,305.9223208
209,151.265396,150,163.0759121
210,190.2020129,188.1180546,202.7800875
211,287.1834473,293.2205761,297.3997927
212,322.9737994,321.1910873,324.8521779
213,312.9903149,309.5218324,310.2846691
214,206.0673274,210.4636469,216.2758689
215,328.0448053,323.7892314,321.7131002
216,209.3122719,203.2011433,211.4779326
217,231.3499245,232.7224945,230.999941
218,336.6228513,335.7082348,329.4915164
219,312.4082248,306.1898592,314.6326005
220,362.3058526,365.4906153,368.2405586
221,314.4032231,316.7256611,306.9565974
222,292.0771508,290.2783758,295.7581123
223,173.418692,171.9620319,155.5864665
224,241.9289508,244.2809145,233.535708
225,216.3005919,222.252399,212.6418261
226,210.9974108,209.5834448,213.8561087
227,393.2526387,396.5260812,400.2071567
228,248.2744312,251.1004323,248.9370143
229,373.0116388,377.4081753,377.5444047
